Scenario,Phase,PositionBand,PrevMoveBand,N,RawResidualCorrection,ScenarioPhasePrior,ShrinkWeight,FinalCorrection,Confidence,Status
SLOW,MOVE_34,MID,ADVANCE,540,0.00559,-0.002465,0.931034,0.005034,0.931034,2024-2025 calibration / 2026 holdout
SLOW,MOVE_34,MID,DROP,381,-0.003633,-0.002465,0.904988,-0.003522,0.904988,2024-2025 calibration / 2026 holdout
SLOW,MOVE_34,MID,NEUTRAL,1960,-0.00405,-0.002465,0.98,-0.004018,0.98,2024-2025 calibration / 2026 holdout
SLOW,MOVE_TO3,BACK,ADVANCE,90,0.021932,0.001351,0.692308,0.0156,0.692308,2024-2025 calibration / 2026 holdout
SLOW,MOVE_TO3,BACK,DROP,24,-0.045991,0.001351,0.375,-0.016402,0.375,2024-2025 calibration / 2026 holdout
SLOW,MOVE_TO3,BACK,NEUTRAL,290,-0.001505,0.001351,0.878788,-0.001159,0.878788,2024-2025 calibration / 2026 holdout
SLOW,MOVE_TO3,FRONT,DROP,28,0.01143,0.001351,0.411765,0.005501,0.411765,2024-2025 calibration / 2026 holdout
SLOW,MOVE_TO3,FRONT,NEUTRAL,308,-0.00835,0.001351,0.885057,-0.007235,0.885057,2024-2025 calibration / 2026 holdout
SLOW,MOVE_TO3,MID,ADVANCE,522,-0.0022,0.001351,0.928826,-0.001947,0.928826,2024-2025 calibration / 2026 holdout
SLOW,MOVE_TO3,MID,DROP,440,0.010557,0.001351,0.916667,0.00979,0.916667,2024-2025 calibration / 2026 holdout
SLOW,MOVE_TO3,MID,NEUTRAL,1853,0.001687,0.001351,0.97887,0.00168,0.97887,2024-2025 calibration / 2026 holdout
SPRINT_FINISH,MOVE_34,BACK,ADVANCE,120,-0.018739,-0.001632,0.75,-0.014462,0.75,2024-2025 calibration / 2026 holdout
SPRINT_FINISH,MOVE_34,BACK,DROP,48,-0.006513,-0.001632,0.545455,-0.004294,0.545455,2024-2025 calibration / 2026 holdout
SPRINT_FINISH,MOVE_34,BACK,NEUTRAL,603,-0.007062,-0.001632,0.937792,-0.006724,0.937792,2024-2025 calibration / 2026 holdout
SPRINT_FINISH,MOVE_34,FRONT,ADVANCE,25,-0.028343,-0.001632,0.384615,-0.011905,0.384615,2024-2025 calibration / 2026 holdout
SPRINT_FINISH,MOVE_34,FRONT,DROP,40,0.000561,-0.001632,0.5,-0.000536,0.5,2024-2025 calibration / 2026 holdout
SPRINT_FINISH,MOVE_34,FRONT,NEUTRAL,678,0.007549,-0.001632,0.94429,0.007038,0.94429,2024-2025 calibration / 2026 holdout
SPRINT_FINISH,MOVE_34,MID,ADVANCE,1318,-0.010309,-0.001632,0.970545,-0.010054,0.970545,2024-2025 calibration / 2026 holdout
SPRINT_FINISH,MOVE_34,MID,DROP,933,0.005811,-0.001632,0.95889,0.005505,0.95889,2024-2025 calibration / 2026 holdout
SPRINT_FINISH,MOVE_34,MID,NEUTRAL,4324,-0.000612,-0.001632,0.990834,-0.000622,0.990834,2024-2025 calibration / 2026 holdout
SPRINT_FINISH,MOVE_TO3,BACK,ADVANCE,219,-0.023055,-0.004984,0.84556,-0.020264,0.84556,2024-2025 calibration / 2026 holdout
SPRINT_FINISH,MOVE_TO3,BACK,DROP,82,-0.004326,-0.004984,0.672131,-0.004542,0.672131,2024-2025 calibration / 2026 holdout
SPRINT_FINISH,MOVE_TO3,BACK,NEUTRAL,707,-0.001179,-0.004984,0.946452,-0.001383,0.946452,2024-2025 calibration / 2026 holdout
SPRINT_FINISH,MOVE_TO3,FRONT,ADVANCE,6,0.001748,-0.004984,0.130435,-0.004106,0.130435,2024-2025 calibration / 2026 holdout
SPRINT_FINISH,MOVE_TO3,FRONT,DROP,52,0.023127,-0.004984,0.565217,0.010904,0.565217,2024-2025 calibration / 2026 holdout
SPRINT_FINISH,MOVE_TO3,FRONT,NEUTRAL,640,0.001391,-0.004984,0.941176,0.001016,0.941176,2024-2025 calibration / 2026 holdout
SPRINT_FINISH,MOVE_TO3,MID,ADVANCE,1102,-0.011622,-0.004984,0.964974,-0.011389,0.964974,2024-2025 calibration / 2026 holdout
SPRINT_FINISH,MOVE_TO3,MID,DROP,944,0.000377,-0.004984,0.95935,0.000159,0.95935,2024-2025 calibration / 2026 holdout
SPRINT_FINISH,MOVE_TO3,MID,NEUTRAL,4337,-0.005472,-0.004984,0.990861,-0.005468,0.990861,2024-2025 calibration / 2026 holdout
