血統登録番号,StartDashScore,EarlyTrackingScore,DashMinusTracking,PastPositionScore,HistoryN,StructureSpread,Reliability,Type
2017100722,56.37,54.68,1.69,66.67,1,0.0,7.0,バランス型
2017101155,47.33,50.72,-3.4,26.67,1,0.0,7.0,バランス型
2017101525,36.68,40.44,-3.76,22.89,8,0.1539,66.7,バランス型
2017101774,56.37,54.68,1.69,66.67,1,0.0,7.0,バランス型
2017103309,66.15,63.16,2.99,76.56,8,0.0615,57.5,バランス型
2017104270,59.49,56.56,2.92,63.24,8,0.0344,42.4,バランス型
2017104797,51.54,50.63,0.91,45.05,2,0.0687,30.8,バランス型
2017104914,66.73,63.46,3.27,81.14,5,0.083,55.6,バランス型
2017104926,46.74,52.07,-5.33,43.53,5,0.1131,55.6,バランス型
2017105011,46.94,46.36,0.58,39.75,8,0.0913,66.7,バランス型
2017105991,46.77,55.46,-8.69,45.44,2,0.2229,33.3,追走持続型
2017106315,53.61,55.12,-1.51,55.74,5,0.0992,55.6,バランス型
2017106543,41.13,47.6,-6.46,19.08,2,0.0437,23.8,バランス型
2017110021,59.39,56.0,3.39,80.0,1,0.0,7.0,バランス型
2017110034,60.72,61.76,-1.04,70.73,6,0.1278,60.0,バランス型
2017100316,69.74,63.95,5.79,81.63,8,0.0881,66.7,バランス型
2017100320,43.45,45.52,-2.07,0.0,1,0.0,7.0,バランス型
2017101183,48.83,49.77,-0.94,45.1,8,0.0676,60.9,バランス型
2017101431,67.31,63.92,3.39,78.57,8,0.0177,33.2,バランス型
2017105346,50.31,56.13,-5.82,53.06,4,0.1867,50.0,バランス型
2017105366,39.8,43.14,-3.34,28.81,8,0.0643,59.0,バランス型
2017105439,52.89,51.32,1.57,50.93,8,0.1058,66.7,バランス型
2017106203,30.49,38.74,-8.25,14.42,8,0.083,66.7,追走持続型
2011104117,35.37,40.35,-4.98,18.34,6,0.0955,60.0,バランス型
2014105517,61.97,57.81,4.16,70.64,4,0.0715,47.3,バランス型
2014105957,50.88,48.37,2.52,43.59,4,0.1257,50.0,バランス型
2014106038,43.69,48.52,-4.83,38.17,8,0.149,66.7,バランス型
2014106160,45.52,49.15,-3.63,38.78,5,0.064,49.1,バランス型
2015100106,46.83,48.2,-1.37,18.18,1,0.0,7.0,バランス型
2015104287,63.01,61.8,1.21,71.84,8,0.0248,37.1,バランス型
2015104671,43.98,44.72,-0.74,34.95,8,0.1224,66.7,バランス型
2015104882,46.4,49.75,-3.35,41.33,6,0.0887,60.0,バランス型
2016103444,50.54,54.92,-4.38,51.74,8,0.1634,66.7,バランス型
2016105239,48.66,49.63,-0.98,44.67,8,0.1588,66.7,バランス型
2014106051,62.99,56.29,6.7,77.76,2,0.1042,33.3,バランス型
2015101288,30.45,43.94,-13.49,18.23,8,0.0958,66.7,追走持続型
2015104823,56.09,55.52,0.57,60.59,3,0.0,15.0,バランス型
2015104952,72.53,70.35,2.18,91.57,7,0.1204,63.6,バランス型
2015106344,38.61,45.24,-6.63,28.99,8,0.0774,66.3,バランス型
2017103144,42.43,44.71,-2.29,16.97,2,0.0,11.7,バランス型
2017103233,57.07,55.04,2.03,59.03,8,0.0661,60.0,バランス型
2017103784,53.77,53.69,0.09,55.56,1,0.0,7.0,バランス型
2017103927,59.56,60.75,-1.19,67.19,8,0.1545,66.7,バランス型
2017104721,62.25,58.59,3.66,70.27,5,0.0533,44.1,バランス型
2017100460,40.34,44.78,-4.43,31.01,8,0.1146,66.7,バランス型
2017101009,57.26,62.45,-5.19,93.33,1,0.0,7.0,バランス型
2017101056,48.17,41.24,6.93,0.0,1,0.0,7.0,バランス型
2017102631,52.02,47.41,4.61,43.44,4,0.0776,49.8,バランス型
2017102846,53.29,51.96,1.33,51.0,3,0.1119,42.9,バランス型
2017102851,49.14,49.01,0.13,42.32,4,0.1071,50.0,バランス型
2017103026,46.58,44.25,2.33,37.27,8,0.0637,58.7,バランス型
2017104203,48.3,52.8,-4.5,43.23,2,0.1292,33.3,バランス型
2017104916,53.37,54.17,-0.8,54.32,5,0.0976,55.6,バランス型
2017104992,51.28,50.3,0.98,43.7,2,0.0708,31.3,バランス型
2017105320,55.33,52.91,2.41,55.24,5,0.1952,55.6,バランス型
2017105373,57.86,63.81,-5.95,68.62,8,0.2235,66.7,バランス型
2017105519,61.43,60.21,1.22,69.88,6,0.1579,60.0,バランス型
2017105593,41.17,53.44,-12.27,37.31,4,0.1631,50.0,追走持続型
2017109038,48.81,42.75,6.06,6.67,1,0.0,7.0,バランス型
2017110094,40.2,50.71,-10.51,37.11,7,0.1536,63.6,追走持続型
2014106061,65.32,66.58,-1.26,100.0,2,0.0,11.7,バランス型
2014106099,52.3,52.19,0.11,46.67,1,0.0,7.0,バランス型
2014106472,66.6,69.3,-2.7,83.02,8,0.0427,47.1,バランス型
2015100862,57.66,53.95,3.71,62.61,2,0.0792,33.3,バランス型
2015101826,46.31,48.43,-2.13,40.93,8,0.0964,66.7,バランス型
2015103366,46.4,40.56,5.84,23.27,3,0.0953,42.9,バランス型
2015104670,53.85,53.22,0.64,53.73,8,0.1031,66.7,バランス型
2015105192,54.78,55.05,-0.26,57.98,3,0.0953,42.9,バランス型
2016100097,52.36,46.05,6.31,45.88,8,0.14,66.7,バランス型
2016104013,34.75,45.03,-10.28,24.83,8,0.0889,66.7,追走持続型
2016106363,68.67,62.02,6.65,81.9,5,0.0937,55.6,バランス型
2017105194,56.61,68.67,-12.07,74.03,8,0.1047,66.7,追走持続型
2017105350,56.95,53.03,3.92,56.81,8,0.1717,66.7,バランス型
2017105525,46.7,40.3,6.4,33.16,8,0.1064,66.7,バランス型
2017106711,81.08,70.03,11.05,100.0,8,0.1075,66.7,テン型
2017100290,65.1,65.1,-0.0,96.82,2,0.0,11.7,バランス型
2017100306,50.02,50.02,0.0,33.33,1,0.0,7.0,バランス型
2017100680,40.9,41.5,-0.59,22.07,4,0.0238,27.4,バランス型
2017100997,54.73,59.13,-4.39,60.84,7,0.0797,63.6,バランス型
2017101350,52.82,53.37,-0.55,52.56,3,0.0511,33.2,バランス型
2017101749,56.69,56.69,0.0,73.33,1,0.0,7.0,バランス型
2017103278,52.19,53.24,-1.06,51.98,8,0.0294,39.7,バランス型
2017103322,42.44,44.6,-2.16,30.27,5,0.1169,55.6,バランス型
2017103476,47.8,47.8,-0.0,20.0,1,0.0,7.0,バランス型
2017103804,46.53,50.49,-3.96,42.5,6,0.0519,47.0,バランス型
2017104246,58.91,58.91,0.0,86.67,1,0.0,7.0,バランス型
2017104280,51.14,51.14,-0.0,40.0,1,0.0,7.0,バランス型
2017105863,46.69,46.69,-0.0,13.33,1,0.0,7.0,バランス型
2017106264,62.78,62.45,0.33,72.22,8,0.0707,62.6,バランス型
2017100915,70.33,62.96,7.38,80.94,8,0.1407,66.7,バランス型
2017101311,39.41,41.28,-1.88,5.11,2,0.0292,19.8,バランス型
2017104435,45.33,45.33,0.0,23.63,2,0.0,11.7,バランス型
2017104609,50.83,49.74,1.09,45.4,4,0.0257,28.2,バランス型
2017105215,40.01,41.35,-1.35,6.36,2,0.0292,19.8,バランス型
2017105323,35.81,37.53,-1.71,19.3,8,0.0828,66.7,バランス型
2017100381,76.52,67.43,9.09,92.51,8,0.0608,57.1,テン型
2017100393,51.5,50.08,1.42,47.79,6,0.1292,60.0,バランス型
