年月日,場所,R,馬番,レース名,芝・ダ,距離,馬名,性別,騎手,調教師,所属,父,芝・ダ,コースID,所属,日にち判定,前日判定,水曜日判定,木曜日判定,先週の土曜日判定,先週の日曜日判定,2w前の土曜日判定,2w前の日曜日判定,坂2w前 土 TIME1,坂2w前 土 LAP1,坂2w前 土 LAP2,坂2w前 日 TIME1,坂2w前 日 LAP1,坂2w前 日 LAP2,坂1w前 土 TIME1,坂1w前 土 LAP1,坂1w前 土 LAP2,坂1w前 日 TIME1,坂1w前 日 LAP1,坂1w前 日 LAP2, 坂 水 TIME1, 坂 水 LAP1, 坂 水 LAP2, 坂 水 LAP3, 坂 水 LAP4, 坂 木 TIME1, 坂 木 LAP1, 坂 木 LAP2, 坂 木 LAP3, 坂 木 LAP4, 坂 前日 TIME1,ウ2w前 土 １F,ウ2w前 日 １F,ウ1w前 土 １F,ウ1w前 土 5F,ウ1w前 日 １F,ウ1w前 日 5F,ウ 水 1F,ウ 水 4F,ウ 水 5F,ウ 水 6F,ウ 木 1F,ウ 木 4F,ウ 木 5F,ウ 木 6F,調教師判定,ウ 水1F,ウ 木1F,ウ 1F判定,ウ 前日 5F,水曜日A3,木曜日A3,A3LAP判定,水曜日B3,木曜日B3,B3LAP判定,前日坂路時計,前日坂路TIME１判定,水曜坂路爆速,木曜坂路爆速,坂路爆速判定,水曜地雷ラップ,木曜地雷ラップ,地雷ラップ判定,コース判定,A3高勝率Lap,本命候補判定,相手候補判定,ZI,脚質,枠,レースID,血統登録番号
20260906,札幌,2,8,未勝利*,芝,2000,バトルナイト,牡,横山和生,武英智,栗,ベンバトル,2,札幌芝2000,2,R8.9.6,バトルナイト46270,バトルナイト46267,バトルナイト46268,バトルナイト46263,バトルナイト46264,バトルナイト46256,バトルナイト46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,FALSE,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,102,　,7,2.02609E+17,24104201
20260906,札幌,2,9,未勝利*,芝,2000,アオイノリプー,牡,佐々木大,尾形和幸,美,サートゥルナーリア,2,札幌芝2000,1,R8.9.6,アオイノリプー46270,アオイノリプー46267,アオイノリプー46268,アオイノリプー46263,アオイノリプー46264,アオイノリプー46256,アオイノリプー46257,67.1,16.5,16.4,56.6,13.5,13.8,66.9,16.5,16.3,54.9,12.2,12.5,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,15.7,なし,15.2,0,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,TRUE,なし,〇,なし,111,追,8,2.02609E+17,24100715
20260906,札幌,2,10,未勝利*,芝,2000,ブライトシーン,牡,遠藤汰月,松尾卓哉,美,ウインブライト,2,札幌芝2000,1,R8.9.6,ブライトシーン46270,ブライトシーン46267,ブライトシーン46268,ブライトシーン46263,ブライトシーン46264,ブライトシーン46256,ブライトシーン46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,90,差,8,2.02609E+17,24104133
20260906,札幌,3,1,未勝利,ダ,1700,ニシノモリミチ,牡,鮫島克駿,高木登,美,ダノンプレミアム,1,札幌ダ1700,1,R8.9.6,ニシノモリミチ46270,ニシノモリミチ46267,ニシノモリミチ46268,ニシノモリミチ46263,ニシノモリミチ46264,ニシノモリミチ46256,ニシノモリミチ46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,96,逃,1,2.02609E+17,23100362
20260906,札幌,3,2,未勝利,ダ,1700,アオイミズホ,牡,丹内祐次,古賀慎明,美,ビーチパトロール,1,札幌ダ1700,1,R8.9.6,アオイミズホ46270,アオイミズホ46267,アオイミズホ46268,アオイミズホ46263,アオイミズホ46264,アオイミズホ46256,アオイミズホ46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,113,逃,2,2.02609E+17,23101814
20260906,札幌,3,3,未勝利,ダ,1700,ゴンフィンガー,牡,小沢大仁,中内田充,栗,Curlin,1,札幌ダ1700,2,R8.9.6,ゴンフィンガー46270,ゴンフィンガー46267,ゴンフィンガー46268,ゴンフィンガー46263,ゴンフィンガー46264,ゴンフィンガー46256,ゴンフィンガー46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,FALSE,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,116,先,3,2.02609E+17,23110069
20260906,札幌,3,4,未勝利,ダ,1700,シンエンドーツダ,牡,斎藤新,萱野浩二,美,イスラボニータ,1,札幌ダ1700,1,R8.9.6,シンエンドーツダ46270,シンエンドーツダ46267,シンエンドーツダ46268,シンエンドーツダ46263,シンエンドーツダ46264,シンエンドーツダ46256,シンエンドーツダ46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,115,先,3,2.02609E+17,23103621
20260906,札幌,3,5,未勝利,ダ,1700,ブルーアンビエンス,牡,河原田菜,菊沢隆徳,美,レイデオロ,1,札幌ダ1700,1,R8.9.6,ブルーアンビエンス46270,ブルーアンビエンス46267,ブルーアンビエンス46268,ブルーアンビエンス46263,ブルーアンビエンス46264,ブルーアンビエンス46256,ブルーアンビエンス46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,100,追,4,2.02609E+17,23103830
20260906,札幌,3,6,未勝利,ダ,1700,ツクバヴァンガード,牡,長浜鴻緒,奥平雅士,美,リーチザクラウン,1,札幌ダ1700,1,R8.9.6,ツクバヴァンガード46270,ツクバヴァンガード46267,ツクバヴァンガード46268,ツクバヴァンガード46263,ツクバヴァンガード46264,ツクバヴァンガード46256,ツクバヴァンガード46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,113,逃,4,2.02609E+17,23101037
20260906,札幌,3,7,未勝利,ダ,1700,ロスニーニョス,牡,和田陽希,大根田裕,栗,レイデオロ,1,札幌ダ1700,2,R8.9.6,ロスニーニョス46270,ロスニーニョス46267,ロスニーニョス46268,ロスニーニョス46263,ロスニーニョス46264,ロスニーニョス46256,ロスニーニョス46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,90,差,5,2.02609E+17,23103280
